id,category,subcategory,name,description,base_price
bed-single,bedroom-living,침대,싱글 침대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,40000
bed-double,bedroom-living,침대,더블 침대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,40000
bed-queen,bedroom-living,침대,퀸 침대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,70000
bed-king,bedroom-living,침대,킹 침대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,80000
sofa-2,bedroom-living,쇼파,2인용 쇼파,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,40000
sofa-3,bedroom-living,쇼파,3인용 쇼파,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,50000
sofa-4plus,bedroom-living,쇼파,4인용 이상 쇼파,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,70000
closet-1door,bedroom-living,옷장,1도어 옷장,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
closet-2door,bedroom-living,옷장,2도어 옷장,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
closet-3door,bedroom-living,옷장,3도어 이상 옷장,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
hanger-small,bedroom-living,행거,소형 행거,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
hanger-medium,bedroom-living,행거,중형 행거,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
hanger-large,bedroom-living,행거,대형 행거,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
storage-small,bedroom-living,수납장,소형 수납장,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
storage-medium,bedroom-living,수납장,중형 수납장,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
storage-large,bedroom-living,수납장,대형 수납장,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
dining-2,bedroom-living,식탁,2인용 식탁,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
dining-4,bedroom-living,식탁,4인용 식탁,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
dining-6plus,bedroom-living,식탁,6인용 이상 식탁,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
dresser-small,bedroom-living,화장대,소형 화장대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
dresser-medium,bedroom-living,화장대,중형 화장대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
dresser-large,bedroom-living,화장대,대형 화장대,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
curtain-small,bedroom-living,커튼,단형 커튼,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
curtain-medium,bedroom-living,커튼,중형 커튼,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
curtain-large,bedroom-living,커튼,장형 커튼,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
mirror-small,bedroom-living,거울,소형 거울,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
mirror-medium,bedroom-living,거울,중형 거울,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
mirror-large,bedroom-living,거울,대형 거울,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
desk-small,study,책상,소형 책상,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
desk-medium,study,책상,중형 책상,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
desk-large,study,책상,대형 책상,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
chair-normal,study,의자,일반 의자,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
chair-special,study,의자,특수형태 의자,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
bookshelf-small,study,책장,소형 책장,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
bookshelf-medium,study,책장,중형 책장,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
bookshelf-large,study,책장,대형 책장,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
tv-32,digital-appliances,TV/모니터,32인치 이하 TV,평면,25000
tv-32plus,digital-appliances,TV/모니터,32인치 이상 TV,평면,25000
tv-50plus,digital-appliances,TV/모니터,50인치 이상 TV,평면,35000
pc-desktop,digital-appliances,PC/노트북,데스크탑,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
pc-laptop,digital-appliances,PC/노트북,노트북,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,0
aircon-wall-small,digital-appliances,에어컨,벽걸이 10평형 이하,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,200000
aircon-wall-large,digital-appliances,에어컨,벽걸이 10평형 이상,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,200000
aircon-stand-small,digital-appliances,에어컨,스탠드 10평형 이하,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,250000
aircon-stand-large,digital-appliances,에어컨,스탠드 10평형 이상,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,250000
aircon-2in1-small,digital-appliances,에어컨,2in1 20평형 이하,해체 및 재설치 필요 시 진행불가 단순 이동은 이용가능,300000
